DATE,TEMPS,ACTIONS,TACHES,KEYS,ETAT_ENVOI,A
1/11/2024,7:38:22,WPCS,delete,"57627_-4, 1",0,
1/11/2024,7:38:28,WPCS,delete,"57627_-2, 1",0,
1/11/2024,7:38:38,WPCS,delete,"57631_-11, 1",0,
1/11/2024,7:38:48,WPCS,delete,"57631_-10, 1",0,
1/11/2024,7:38:53,WPCS,delete,"57631_-7, 1",0,
1/11/2024,7:39:03,WPCS,delete,"57631_-6, 1",0,
1/11/2024,7:39:08,WPCS,delete,"57631_-5, 1",0,
1/11/2024,7:39:18,WPCS,delete,"57631_-4, 1",0,
1/11/2024,7:39:23,WPCS,delete,"57631_-2, 1",0,
1/11/2024,7:39:38,WPCS,delete,"57631_-8, 1",0,
1/11/2024,7:52:05,WPCS,delete,"57480_-31, 1",0,
1/11/2024,16:32:18,WPCS,insert,"57480_-31, 1",0,
1/11/2024,19:55:08,WPCS,delete,"57480_-10, 1",0,
1/11/2024,19:55:23,WPCS,delete,"57480_-5, 1",0,
1/11/2024,19:55:44,WPCS,delete,"57480_-30, 1",0,
1/11/2024,19:55:59,WPCS,delete,"57480_-31, 1",0,
1/11/2024,19:59:14,WPCS,delete,"57480_-27, 1",0,
1/11/2024,19:59:34,WPCS,delete,"57480_-25, 1",0,
1/11/2024,20:00:09,WPCS,delete,"57480_-24, 1",0,
1/11/2024,20:00:24,WPCS,delete,"57480_-23, 1",0,
1/11/2024,20:00:59,WPCS,delete,"57480_-22, 1",0,
4/11/2024,10:08:28,WPCS,insert,"57793_-26, 1",0,
4/11/2024,10:08:28,WPCS,insert,"57793_-25, 1",0,
4/11/2024,10:08:28,WPCS,insert,"57793_-7, 1",0,
4/11/2024,10:08:28,WPCS,insert,"57793_-8, 1",0,
4/11/2024,10:08:29,WPCS,insert,"57793_-9, 1",0,
4/11/2024,10:08:29,WPCS,insert,"57793_-10, 1",0,
4/11/2024,10:08:29,WPCS,insert,"57793_-11, 1",0,
4/11/2024,10:08:30,WPCS,insert,"57793_-24, 1",0,
4/11/2024,10:08:30,WPCS,insert,"57793_-23, 1",0,
4/11/2024,10:08:30,WPCS,insert,"57793_-22, 1",0,
4/11/2024,10:15:37,WPCS,insert,"57793_-21, 1",0,
4/11/2024,10:15:38,WPCS,insert,"57793_-20, 1",0,
4/11/2024,10:15:38,WPCS,insert,"57793_-12, 1",0,
4/11/2024,10:15:39,WPCS,insert,"57793_-13, 1",0,
4/11/2024,10:15:40,WPCS,insert,"57793_-14, 1",0,
4/11/2024,10:15:40,WPCS,insert,"57793_-15, 1",0,
4/11/2024,10:15:41,WPCS,insert,"57793_-16, 1",0,
4/11/2024,10:15:41,WPCS,insert,"57793_-19, 1",0,
4/11/2024,10:15:41,WPCS,insert,"57793_-18, 1",0,
4/11/2024,10:15:42,WPCS,insert,"57793_-17, 1",0,
