Nature,Section,DateTimeStamp,ArticleKey,Job,UserName,Wire,Seal,Terminal,ProductionRequestedPieces,ProductionPieces,UserRequestedPieces,TotalGoodPieces,SampleRequestedPieces
SampleStarted,Counter,"01/11/2024,06:31:28",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904305, 2707141",,"T5556-T, 14124, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:31:40",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,1
LearnStarted,Counter,"01/11/2024,06:32:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,
LearnAborted,Counter,"01/11/2024,06:32:30",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904625, 2707141",,"T5556-T, 14125, 13794",,,,,
SampleStarted,Counter,"01/11/2024,06:36:26",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2904945, 2707141",,"T5556-T, 14126, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:36:38",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905265, 2707141",,"T5556-T, 14127, 13794",,,,,1
SampleStarted,Counter,"01/11/2024,06:37:59",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905265, 2707141",,"T5556-T, 14127, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:38:11",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905585, 2707141",,"T5556-T, 14128, 13794",,,,,1
LearnStarted,Counter,"01/11/2024,06:39:24",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2905585, 2707141",,"T5556-T, 14128, 13794",,,,,
LearnTerminated,Counter,"01/11/2024,06:39:47",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906205, 2707141",,"T5556-T, 14131, 13794",,,,,
SampleStarted,Counter,"01/11/2024,06:40:21",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906205, 2707141",,"T5556-T, 14131, 13794",,,,,1
SampleTerminated,Counter,"01/11/2024,06:40:33",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",,,,,1
ProductionStarted,Counter,"01/11/2024,06:44:35",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",1000,,,,
ProductionInterrupted,Counter,"01/11/2024,06:44:54",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2906690, 2707141",,"T5556-T, 14132, 13794",1000,,,10,
ProductionRestarted,Counter,"01/11/2024,06:52:50",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2910640, 2710921",,"T5556-T, 14144, 13806",1000,,,12,
ProductionRestarted,Counter,"01/11/2024,06:53:04",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2910640, 2710921",,"T5556-T, 14144, 13806",1000,,,12,
ProductionInterrupted,Counter,"01/11/2024,06:55:45",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2938360, 2738641",,"T5556-T, 14232, 13894",1000,,,100,
ProductionRestarted,Counter,"01/11/2024,06:55:51",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2938360, 2738641",,"T5556-T, 14232, 13894",1000,,,100,
ProductionInterrupted,Counter,"01/11/2024,06:58:55",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2969860, 2770141",,"T5556-T, 14332, 13994",1000,,,200,
ProductionRestarted,Counter,"01/11/2024,06:59:00",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 2969860, 2770141",,"T5556-T, 14332, 13994",1000,,,200,
ProductionInterrupted,Counter,"01/11/2024,07:02:04",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3001360, 2801641",,"T5556-T, 14432, 14094",1000,,,300,
ProductionRestarted,Counter,"01/11/2024,07:02:10",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3001360, 2801641",,"T5556-T, 14432, 14094",1000,,,300,
ProductionInterrupted,Counter,"01/11/2024,07:05:14",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3032860, 2833141",,"T5556-T, 14532, 14194",1000,,,400,
ProductionRestarted,Counter,"01/11/2024,07:05:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3032860, 2833141",,"T5556-T, 14532, 14194",1000,,,400,
ProductionInterrupted,Counter,"01/11/2024,07:08:10",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3061840, 2862121",,"T5556-T, 14624, 14286",1000,,,492,
SampleStarted,Counter,"01/11/2024,07:09:50",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3061840, 2862121",,"T5556-T, 14624, 14286",,,,,1
SampleTerminated,Counter,"01/11/2024,07:10:03",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062160, 2862121",,"T5556-T, 14625, 14286",,,,,1
LearnStarted,Counter,"01/11/2024,07:10:22",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062160, 2862121",,"T5556-T, 14625, 14286",,,,,
LearnTerminated,Counter,"01/11/2024,07:10:46",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062780, 2862121",,"T5556-T, 14628, 14286",,,,,
ProductionRestarted,Counter,"01/11/2024,07:11:26",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3062780, 2862121",,"T5556-T, 14628, 14286",1000,,,492,
ProductionInterrupted,Counter,"01/11/2024,07:11:40",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3065470, 2864641",,"T5556-T, 14636, 14294",1000,,,500,
ProductionRestarted,Counter,"01/11/2024,07:11:45",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3065470, 2864641",,"T5556-T, 14636, 14294",1000,,,500,
ProductionInterrupted,Counter,"01/11/2024,07:14:53",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3097285, 2896141",,"T5556-T, 14737, 14394",1000,,,600,
ProductionRestarted,Counter,"01/11/2024,07:14:58",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3097285, 2896141",,"T5556-T, 14737, 14394",1000,,,600,
ProductionInterrupted,Counter,"01/11/2024,07:18:06",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3129415, 2928271",,"T5556-T, 14839, 14496",1000,,2,702,
ProductionRestarted,Counter,"01/11/2024,07:18:11",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3129415, 2928271",,"T5556-T, 14839, 14496",1000,,2,702,
ProductionInterrupted,Counter,"01/11/2024,07:21:19",57628_-2,"57628_-2, 1",MED AMIN,"CU04CR001, 3161230, 2959771",,"T5556-T, 14940, 14596",1000,,2,802,
